Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
1,3,1821,1364,3450,4006,397,361
1,3,10683,21858,15400,3635,282,5120
1,3,11635,922,1614,2583,192,1068
1,3,1206,3620,2857,1945,353,967
1,3,20918,1916,1573,1960,231,961
1,3,9785,848,1172,1677,200,406
1,3,9385,1530,1422,3019,227,684
1,3,3352,1181,1328,5502,311,1000
1,3,2647,2761,2313,907,95,1827
1,3,518,4180,3600,659,122,654
1,3,23632,6730,3842,8620,385,819
1,3,12377,865,3204,1398,149,452
1,3,9602,1316,1263,2921,841,290
2,3,4515,11991,9345,2644,3378,2213
1,3,11535,1666,1428,6838,64,743
1,3,11442,1032,582,5390,74,247
1,3,9612,577,935,1601,469,375
1,3,4446,906,1238,3576,153,1014
1,3,27167,2801,2128,13223,92,1902
1,3,26539,4753,5091,220,10,340
1,3,25606,11006,4604,127,632,288
1,3,18073,4613,3444,4324,914,715
1,3,6884,1046,1167,2069,593,378
1,3,25066,5010,5026,9806,1092,960
2,3,7362,12844,18683,2854,7883,553
2,3,8257,3880,6407,1646,2730,344
1,3,8708,3634,6100,2349,2123,5137
1,3,6633,2096,4563,1389,1860,1892
1,3,2126,3289,3281,1535,235,4365
1,3,97,3605,12400,98,2970,62
1,3,4983,4859,6633,17866,912,2435
1,3,5969,1990,3417,5679,1135,290
2,3,7842,6046,8552,1691,3540,1874
2,3,4389,10940,10908,848,6728,993
1,3,5065,5499,11055,364,3485,1063
2,3,660,8494,18622,133,6740,776
1,3,8861,3783,2223,633,1580,1521
1,3,4456,5266,13227,25,6818,1393
2,3,17063,4847,9053,1031,3415,1784
1,3,26400,1377,4172,830,948,1218
2,3,17565,3686,4657,1059,1803,668
2,3,16980,2884,12232,874,3213,249
1,3,11243,2408,2593,15348,108,1886
1,3,13134,9347,14316,3141,5079,1894
1,3,31012,16687,5429,15082,439,1163
1,3,3047,5970,4910,2198,850,317
1,3,8607,1750,3580,47,84,2501
1,3,3097,4230,16483,575,241,2080
1,3,8533,5506,5160,13486,1377,1498
1,3,21117,1162,4754,269,1328,395
1,3,1982,3218,1493,1541,356,1449
1,3,16731,3922,7994,688,2371,838
1,3,29703,12051,16027,13135,182,2204
1,3,39228,1431,764,4510,93,2346
2,3,14531,15488,30243,437,14841,1867
1,3,10290,1981,2232,1038,168,2125
1,3,2787,1698,2510,65,477,52
