Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
2,3,19913,6759,13462,1256,5141,834
1,3,2446,7260,3993,5870,788,3095
1,3,8352,2820,1293,779,656,144
1,3,16705,2037,3202,10643,116,1365
1,3,18291,1266,21042,5373,4173,14472
1,3,4420,5139,2661,8872,1321,181
2,3,19899,5332,8713,8132,764,648
2,3,8190,6343,9794,1285,1901,1780
1,3,20398,1137,3,4407,3,975
1,3,717,3587,6532,7530,529,894
2,3,12205,12697,28540,869,12034,1009
1,3,10766,1175,2067,2096,301,167
1,3,1640,3259,3655,868,1202,1653
1,3,7005,829,3009,430,610,529
2,3,219,9540,14403,283,7818,156
2,3,10362,9232,11009,737,3537,2342
1,3,20874,1563,1783,2320,550,772
2,3,11867,3327,4814,1178,3837,120
2,3,16117,46197,92780,1026,40827,2944
2,3,22925,73498,32114,987,20070,903
1,3,43265,5025,8117,6312,1579,14351
1,3,7864,542,4042,9735,165,46
1,3,24904,3836,5330,3443,454,3178
1,3,11405,596,1638,3347,69,360
1,3,12754,2762,2530,8693,627,1117
2,3,9198,27472,32034,3232,18906,5130
1,3,11314,3090,2062,35009,71,2698
2,3,5626,12220,11323,206,5038,244
1,3,3,2920,6252,440,223,709
2,3,23,2616,8118,145,3874,217
1,3,403,254,610,774,54,63
1,3,503,112,778,895,56,132
1,3,9658,2182,1909,5639,215,323
2,3,11594,7779,12144,3252,8035,3029
2,3,1420,10810,16267,1593,6766,1838
2,3,2932,6459,7677,2561,4573,1386
1,3,56082,3504,8906,18028,1480,2498
1,3,14100,2132,3445,1336,1491,548
1,3,15587,1014,3970,910,139,1378
2,3,1454,6337,10704,133,6830,1831
2,3,8797,10646,14886,2471,8969,1438
2,3,1531,8397,6981,247,2505,1236
2,3,1406,16729,28986,673,836,3
1,3,11818,1648,1694,2276,169,1647
2,3,12579,11114,17569,805,6457,1519
1,3,19046,2770,2469,8853,483,2708
1,3,14438,2295,1733,3220,585,1561
1,3,18044,1080,2000,2555,118,1266
1,3,11134,793,2988,2715,276,610
1,3,11173,2521,3355,1517,310,222
1,3,6990,3880,5380,1647,319,1160
1,3,20049,1891,2362,5343,411,933
1,3,8258,2344,2147,3896,266,635
1,3,17160,1200,3412,2417,174,1136
1,3,4020,3234,1498,2395,264,255
1,3,12212,201,245,1991,25,860
2,3,11170,10769,8814,2194,1976,143
1,3,36050,1642,2961,4787,500,1621
1,3,76237,3473,7102,16538,778,918
1,3,19219,1840,1658,8195,349,483
2,3,21465,7243,10685,880,2386,2749
1,3,140,8847,3823,142,1062,3
1,3,42312,926,1510,1718,410,1819
1,3,7149,2428,699,6316,395,911
1,3,2101,589,314,346,70,310
1,3,14903,2032,2479,576,955,328
1,3,9434,1042,1235,436,256,396
1,3,7388,1882,2174,720,47,537
1,3,6300,1289,2591,1170,199,326
1,3,4625,8579,7030,4575,2447,1542
1,3,3087,8080,8282,661,721,36
1,3,13537,4257,5034,155,249,3271
1,3,5387,4979,3343,825,637,929
1,3,17623,4280,7305,2279,960,2616
1,3,30379,13252,5189,321,51,1450
1,3,37036,7152,8253,2995,20,3
1,3,10405,1596,1096,8425,399,318
1,3,18827,3677,1988,118,516,201
2,3,22039,8384,34792,42,12591,4430
1,3,7769,1936,2177,926,73,520
1,3,9203,3373,2707,1286,1082,526
1,3,5924,584,542,4052,283,434
1,3,31812,1433,1651,800,113,1440
1,3,16225,1825,1765,853,170,1067
1,3,1289,3328,2022,531,255,1774
1,3,18840,1371,3135,3001,352,184
1,3,3463,9250,2368,779,302,1627
1,3,622,55,137,75,7,8
2,3,1989,10690,19460,233,11577,2153
2,3,3830,5291,14855,317,6694,3182
1,3,17773,1366,2474,3378,811,418
2,3,2861,6570,9618,930,4004,1682
2,3,355,7704,14682,398,8077,303
2,3,1725,3651,12822,824,4424,2157
1,3,12434,540,283,1092,3,2233
1,3,15177,2024,3810,2665,232,610
2,3,5531,15726,26870,2367,13726,446
2,3,5224,7603,8584,2540,3674,238
2,3,15615,12653,19858,4425,7108,2379
2,3,4822,6721,9170,993,4973,3637
1,3,2926,3195,3268,405,1680,693
1,3,5809,735,803,1393,79,429
1,3,5414,717,2155,2399,69,750
2,3,260,8675,13430,1116,7015,323
2,3,200,25862,19816,651,8773,6250
1,3,955,5479,6536,333,2840,707
2,3,514,7677,19805,937,9836,716
1,3,286,1208,5241,2515,153,1442
2,3,2343,7845,11874,52,4196,1697
1,3,45640,6958,6536,7368,1532,230
1,3,12759,7330,4533,1752,20,2631
1,3,11002,7075,4945,1152,120,395
1,3,3157,4888,2500,4477,273,2165
1,3,12356,6036,8887,402,1382,2794
1,3,112151,29627,18148,16745,4948,8550
1,3,694,8533,10518,443,6907,156
1,3,36847,43950,20170,36534,239,47943
1,3,327,918,4710,74,334,11
1,3,8170,6448,1139,2181,58,247
1,3,3009,521,854,3470,949,727
1,3,2438,8002,9819,6269,3459,3
2,3,8040,7639,11687,2758,6839,404
2,3,834,11577,11522,275,4027,1856
1,3,16936,6250,1981,7332,118,64
1,3,13624,295,1381,890,43,84
1,3,5509,1461,2251,547,187,409
2,3,180,3485,20292,959,5618,666
1,3,7107,1012,2974,806,355,1142
1,3,17023,5139,5230,7888,330,1755
1,1,30624,7209,4897,18711,763,2876
2,1,2427,7097,10391,1127,4314,1468
1,1,11686,2154,6824,3527,592,697
1,1,9670,2280,2112,520,402,347
